id_respondente,sexo_desc,escolaridade_desc,raca_desc,religiao_desc,rend1_desc,rend2_desc,regiao_desc,cond_desc,porte_desc,p4_desc,p6a_desc,p6b_desc,p6c_desc,p6d_desc,p6e_desc,idade_num,idade_num_norm,p5_desc_target
1184,FEM,1ª série,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 5.001 A 10.000,Revender cosméticos ou produtos de beleza,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,21.0,0.06756756756756754,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1840,FEM,3ª série,Branca,Batista/ Metodista/ Presbiteriana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 50.001 A 100.000,"Precisou fazer, mas não foi nenhuma destas atividades/ Outras",Concorda em parte,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,64.0,0.6486486486486487,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1858,MAS,4ª série (ou 5º ano),Preta,É religioso mas não segue nenhuma/ Agnóstico,MAIS DE 2 A 5,MAIS DE 2 A 5,NORTE,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,34.0,0.24324324324324326,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
66,FEM,3ª série,Branca,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 100.001 A 500.000,Não precisou fazer atividade extra,Discorda em parte,Concorda totalmente,Discorda em parte,Discorda totalmente,Discorda em parte,44.0,0.3783783783783784,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
787,MAS,3ª série,Parda,Católica Apostólica Romana,MAIS DE 5 A 10,MAIS DE 10 A 20,SUDESTE,INTERIOR,DE 10.001 A 20.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Concorda em parte,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,50.0,0.45945945945945943,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
765,FEM,Superior incompleto,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 50.001 A 100.000,"Bico de serviços de beleza (cabeleireiro, barbeiro, manicure, depilação, entre outros)",Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda em parte,28.0,0.16216216216216217,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
165,MAS,3ª série,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,CENTRO OESTE,INTERIOR,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Concorda totalmente,45.0,0.3918918918918919,Não sabe/ Não respondeu
1343,FEM,5ª série (ou 6º ano),Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda em parte,Discorda totalmente,51.0,0.472972972972973,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
91,MAS,3ª série,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,CAPITAL,MAIS DE 500.000,"Atuar como motorista e/ou realizar entregas por aplicativo (Uber, 99, Ifood, Rappi e etc.)",Concorda em parte,Concorda totalmente,Concorda em parte,Discorda totalmente,Discorda totalmente,52.0,0.4864864864864865,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1593,FEM,3ª série,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORTE,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,Discorda totalmente,Concorda totalmente,Discorda em parte,Discorda em parte,Concorda totalmente,28.0,0.16216216216216217,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
354,MAS,2ª série,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,34.0,0.24324324324324326,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
458,FEM,2ª série,Branca,Assembléia de Deus,NÃO RESPONDEU,NÃO RESPONDEU,SUL,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,34.0,0.24324324324324326,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1677,MAS,3ª série,Branca,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,33.0,0.22972972972972971,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1222,MAS,4ª série (ou 5º ano),Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUL,PERIFERIA,DE 20.001 A 50.000,"Atuar como motorista e/ou realizar entregas por aplicativo (Uber, 99, Ifood, Rappi e etc.)",Concorda totalmente,Concorda totalmente,Concorda totalmente,"Não concorda, nem discorda",Discorda totalmente,54.0,0.5135135135135136,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
6,MAS,4ª série (ou 5º ano),Preta,"Ateu, não tem religião",ATÉ 1,MAIS DE 1 A 2,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,"Passear com cachorros, animais de estimação",Discorda em parte,Concorda totalmente,Discorda em parte,"Não concorda, nem discorda",Concorda em parte,20.0,0.05405405405405406,Tenho visto mais pessoas trabalhando nos semáforos/ruas
1052,MAS,8ª série (ou 9º ano),Parda,"Ateu, não tem religião",ATÉ 1,ATÉ 1,NORTE,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda em parte,24.0,0.10810810810810811,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1487,MAS,Superior completo,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 10 A 20,SUDESTE,CAPITAL,MAIS DE 500.000,"Precisou fazer, mas não foi nenhuma destas atividades/ Outras",Concorda em parte,Concorda em parte,Discorda totalmente,Discorda totalmente,Discorda em parte,28.0,0.16216216216216217,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
815,FEM,Superior completo,Branca,Batista/ Metodista/ Presbiteriana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,PERIFERIA,MAIS DE 500.000,"Precisou fazer, mas não foi nenhuma destas atividades/ Outras",Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda em parte,Concorda totalmente,39.0,0.31081081081081086,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1968,FEM,2ª série,Parda,Outras religiões,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,PERIFERIA,DE 100.001 A 500.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Discorda em parte,Concorda em parte,Discorda totalmente,Concorda em parte,Concorda totalmente,39.0,0.31081081081081086,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
440,FEM,3ª série,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,Não sabe/ Não respondeu,Concorda em parte,Concorda totalmente,Discorda em parte,Concorda totalmente,50.0,0.45945945945945943,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1647,MAS,Superior completo,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORTE,CAPITAL,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Não sabe/ Não respondeu,Discorda totalmente,Concorda totalmente,45.0,0.3918918918918919,Não sabe/ Não respondeu
166,MAS,Superior completo,Branca,Católica Apostólica Romana,MAIS DE 5 A 10,MAIS DE 10 A 20,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda em parte,45.0,0.3918918918918919,Tenho visto mais pessoas trabalhando nos semáforos/ruas
1637,MAS,Analfabeto,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 50.001 A 100.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,43.0,0.3648648648648649,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1956,MAS,3ª série,Branca,Adventista,MAIS DE 2 A 5,MAIS DE 2 A 5,NORDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,"Não concorda, nem discorda",Concorda em parte,Discorda em parte,Concorda em parte,Concorda em parte,33.0,0.22972972972972971,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
140,FEM,8ª série (ou 9º ano),Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,SUDESTE,INTERIOR,DE 50.001 A 100.000,Trabalhar como babá/ cuidar de crianças,Discorda totalmente,Concorda em parte,Discorda em parte,Concorda em parte,Discorda totalmente,25.0,0.1216216216216216,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
457,MAS,2ª série,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,NORDESTE,CAPITAL,MAIS DE 500.000,Não sabe/ Não respondeu,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,59.0,0.5810810810810811,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1664,FEM,3ª série,Branca,Assembléia de Deus,ATÉ 1,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,"Produzir alimentos em casa para vender (bolos, pães, doces, refeições, etc.)",Discorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,Concorda totalmente,32.0,0.21621621621621623,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
512,FEM,7ª série (ou 8º ano),Preta,Igreja Internacional da Graça,ATÉ 1,MAIS DE 1 A 2,SUL,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,"Não concorda, nem discorda",Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,59.0,0.5810810810810811,Tenho visto mais pessoas trabalhando nos semáforos/ruas
978,FEM,7ª série (ou 8º ano),Parda,É religioso mas não segue nenhuma/ Agnóstico,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,"Bico de serviços de beleza (cabeleireiro, barbeiro, manicure, depilação, entre outros)",Concorda totalmente,Concorda em parte,Concorda em parte,Não sabe/ Não respondeu,Não sabe/ Não respondeu,31.0,0.20270270270270274,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
88,MAS,8ª série (ou 9º ano),Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUDESTE,PERIFERIA,DE 50.001 A 100.000,Não precisou fazer atividade extra,Discorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,56.0,0.5405405405405406,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
496,FEM,Superior completo,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,CENTRO OESTE,INTERIOR,DE 5.001 A 10.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,44.0,0.3783783783783784,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1781,MAS,7ª série (ou 8º ano),Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 5.001 A 10.000,Não precisou fazer atividade extra,Discorda em parte,"Não concorda, nem discorda","Não concorda, nem discorda",Discorda totalmente,"Não concorda, nem discorda",34.0,0.24324324324324326,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1224,MAS,4ª série (ou 5º ano),Parda,É religioso mas não segue nenhuma/ Agnóstico,ATÉ 1,ATÉ 1,CENTRO OESTE,INTERIOR,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda em parte,Concorda totalmente,Não sabe/ Não respondeu,Concorda totalmente,Concorda totalmente,54.0,0.5135135135135136,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1448,FEM,3ª série,Parda,"Ateu, não tem religião",ATÉ 1,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,"Bico de serviços de beleza (cabeleireiro, barbeiro, manicure, depilação, entre outros)",Discorda em parte,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,42.0,0.3513513513513513,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
820,MAS,Superior completo,Parda,Outras Evangélicas específicas,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,PERIFERIA,MAIS DE 500.000,"Precisou fazer, mas não foi nenhuma destas atividades/ Outras",Concorda totalmente,Concorda totalmente,Concorda em parte,Discorda em parte,Discorda totalmente,24.0,0.10810810810810811,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
999,MAS,8ª série (ou 9º ano),Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,30.0,0.1891891891891892,Tenho visto mais pessoas trabalhando nos semáforos/ruas
987,FEM,4ª série (ou 5º ano),Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,INTERIOR,DE 10.001 A 20.000,Não precisou fazer atividade extra,Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,26.0,0.13513513513513514,Tenho visto mais pessoas trabalhando nos semáforos/ruas
1465,MAS,3ª série,Branca,"Ateu, não tem religião",ATÉ 1,MAIS DE 2 A 5,SUDESTE,CAPITAL,MAIS DE 500.000,Vender roupas e outros artigos usados,Discorda em parte,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda em parte,47.0,0.41891891891891897,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1125,MAS,8ª série (ou 9º ano),Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUL,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Não sabe/ Não respondeu,Concorda totalmente,Discorda totalmente,Discorda totalmente,Concorda totalmente,60.0,0.5945945945945946,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1793,FEM,3ª série,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,Discorda em parte,"Não concorda, nem discorda","Não concorda, nem discorda","Não concorda, nem discorda",Discorda em parte,19.0,0.04054054054054057,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1608,MAS,3ª série,Amarela,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 50.001 A 100.000,"Atuar como motorista e/ou realizar entregas por aplicativo (Uber, 99, Ifood, Rappi e etc.)",Concorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,49.0,0.44594594594594594,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
875,MAS,4ª série (ou 5º ano),Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,SUL,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,20.0,0.05405405405405406,Tenho visto mais pessoas trabalhando nos semáforos/ruas
377,FEM,2ª série,Parda,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,"Produzir alimentos em casa para vender (bolos, pães, doces, refeições, etc.)",Concorda totalmente,Discorda em parte,Discorda em parte,Discorda em parte,Concorda totalmente,41.0,0.33783783783783783,Tenho visto mais pessoas trabalhando nos semáforos/ruas
1096,FEM,3ª série,Parda,Outras Evangélicas específicas,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,CAPITAL,MAIS DE 500.000,Não sabe/ Não respondeu,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,45.0,0.3918918918918919,Não sabe/ Não respondeu
1210,MAS,3ª série,Branca,Batista/ Metodista/ Presbiteriana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,"Atuar como motorista e/ou realizar entregas por aplicativo (Uber, 99, Ifood, Rappi e etc.)",Discorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,Discorda totalmente,45.0,0.3918918918918919,Tenho visto mais pessoas trabalhando nos semáforos/ruas
1940,FEM,3ª série,Preta,Universal do Reino de Deus,ATÉ 1,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Concorda em parte,Concorda totalmente,"Não concorda, nem discorda",Discorda em parte,Discorda em parte,48.0,0.43243243243243246,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1373,FEM,Superior incompleto,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,NORTE,CAPITAL,MAIS DE 500.000,"Fazer trabalhos manuais, como bijuterias, artesanatos",Concorda totalmente,Concorda totalmente,Concorda em parte,Discorda em parte,Concorda totalmente,42.0,0.3513513513513513,Tenho visto mais favelas/barracos/áreas ocupadas
1202,FEM,3ª série,Parda,Deus é Amor,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,20.0,0.05405405405405406,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1537,MAS,3ª série,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 10.001 A 20.000,Não precisou fazer atividade extra,Discorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,38.0,0.29729729729729737,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
608,FEM,2ª série (ou 3º ano),Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 10.001 A 20.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Não sabe/ Não respondeu,47.0,0.41891891891891897,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
870,FEM,3ª série,Parda,"Ateu, não tem religião",NÃO TEM RENDIMENTO PESSOAL,NÃO RESPONDEU,SUL,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,26.0,0.13513513513513514,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1634,MAS,8ª série (ou 9º ano),Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 50.001 A 100.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,22.0,0.08108108108108109,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1610,FEM,Superior completo,Branca,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,INTERIOR,DE 50.001 A 100.000,Não precisou fazer atividade extra,Concorda em parte,Concorda em parte,Discorda totalmente,Concorda em parte,Concorda em parte,26.0,0.13513513513513514,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1654,MAS,1ª série,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,NORTE,INTERIOR,DE 20.001 A 50.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Concorda em parte,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,20.0,0.05405405405405406,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1228,FEM,3ª série,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,NÃO RESPONDEU,NORDESTE,INTERIOR,DE 10.001 A 20.000,Não precisou fazer atividade extra,Não sabe/ Não respondeu,"Não concorda, nem discorda",Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,55.0,0.5270270270270271,Não sabe/ Não respondeu
404,MAS,3ª série,Parda,Evangélica - Não sabe especificar,ATÉ 1,MAIS DE 1 A 2,NORDESTE,PERIFERIA,DE 20.001 A 50.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,26.0,0.13513513513513514,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
613,MAS,Superior incompleto,Parda,Igreja Internacional da Graça,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 100.001 A 500.000,"Produzir alimentos em casa para vender (bolos, pães, doces, refeições, etc.)",Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,Discorda totalmente,21.0,0.06756756756756754,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
869,FEM,Superior completo,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,"Produzir alimentos em casa para vender (bolos, pães, doces, refeições, etc.)",Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,52.0,0.4864864864864865,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
435,FEM,6ª série (ou 7º ano),Preta,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,Concorda em parte,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,61.0,0.6081081081081081,Não sabe/ Não respondeu
1183,FEM,3ª série,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,INTERIOR,DE 5.001 A 10.000,Não precisou fazer atividade extra,Não sabe/ Não respondeu,Concorda totalmente,Concorda em parte,Concorda totalmente,Concorda totalmente,35.0,0.2567567567567568,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1122,MAS,Superior incompleto,Parda,Universal do Reino de Deus,MAIS DE 2 A 5,MAIS DE 5 A 10,SUDESTE,CAPITAL,MAIS DE 500.000,"Atuar como motorista e/ou realizar entregas por aplicativo (Uber, 99, Ifood, Rappi e etc.)",Concorda totalmente,Concorda totalmente,Concorda em parte,Discorda em parte,Concorda em parte,18.0,0.02702702702702703,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1432,FEM,3ª série,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,NORDESTE,INTERIOR,DE 5.001 A 10.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,65.0,0.6621621621621622,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1423,MAS,8ª série (ou 9º ano),Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,PERIFERIA,MAIS DE 500.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,Concorda totalmente,27.0,0.14864864864864868,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
781,MAS,2ª série,Parda,"Ateu, não tem religião",NÃO RESPONDEU,NÃO RESPONDEU,SUDESTE,INTERIOR,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,18.0,0.02702702702702703,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
1915,FEM,3ª série,Parda,Assembléia de Deus,ATÉ 1,ATÉ 1,NORDESTE,PERIFERIA,DE 10.001 A 20.000,"Atuar como motorista e/ou realizar entregas por aplicativo (Uber, 99, Ifood, Rappi e etc.)",Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda em parte,Concorda totalmente,35.0,0.2567567567567568,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
